Year,Temperate_forest_wildfires,Temperate_forest_hazard_reduction,Tropical_savanna_woodlands,Arid_semi_arid_rangelands,Total_fire_area,year_lvl
1990,5,2,15,8,30,1990
1991,5,2,14,8,29,1991
1992,4,2,13,8,27,1992
1993,4,2,13,8,27,1993
1994,3,2,14,9,28,1994
1995,3,2,14,10,29,1995
1996,4,3,17,12,36,1996
1997,4,3,18,13,38,1997
1998,4,3,18,14,39,1998
1999,5,3,19,16,43,1999
2000,6,3,20,17,46,2000
2001,6,3,20,17,46,2001
2002,5,3,18,15,41,2002
2003,5,3,18,16,42,2003
2004,6,3,19,17,45,2004
2005,7,3,20,18,48,2005
2006,6,3,21,20,50,2006
2007,6,3,21,21,51,2007
2008,6,3,19,19,47,2008
2009,6,3,20,21,50,2009
2010,7,3,22,23,55,2010
2011,6,3,21,22,52,2011
2012,7,3,22,23,55,2012
2013,6,3,20,21,50,2013
2014,7,3,22,23,55,2014
2015,8,3,24,25,60,2015
2016,7,3,22,23,55,2016
2017,8,3,23,24,58,2017
2018,6,3,19,20,48,2018
2019,7,3,21,21,52,2019
2020,6,2,20,19,47,2020
